test,type,interactions,elapsed_time,find_type
test_base,memalloc,491,2.3980000019,worst_fit
test_base,memalloc,491,2.4000000954,null
test_base,std,491,0.0400000028,std
test_base,memalloc,501,1.9640001059,first_fit
test_base,memalloc,501,2.7410001755,worst_fit
test_base,memalloc,501,4.1510000229,null
test_base,std,501,0.0560000017,std
test_base,memalloc,511,2.5200002193,first_fit
test_base,memalloc,511,3.0880000591,worst_fit
test_base,memalloc,511,2.3220000267,null
test_base,std,511,0.0590000041,std
test_base,memalloc,521,4.3610000610,first_fit
test_base,memalloc,521,2.6200001240,worst_fit
test_base,memalloc,521,3.4320001602,null
test_base,std,521,0.0490000024,std
test_base,memalloc,531,2.6130001545,first_fit
test_base,memalloc,531,3.4350001812,worst_fit
test_base,memalloc,531,3.7350001335,null
test_base,std,531,0.0610000044,std
test_base,memalloc,541,3.4200000763,first_fit
test_base,memalloc,541,2.8000001907,worst_fit
test_base,memalloc,541,3.4260001183,null
test_base,std,541,0.0410000011,std
test_base,memalloc,551,2.7210001945,first_fit
test_base,memalloc,551,2.8020000458,worst_fit
test_base,memalloc,551,4.8270001411,null
test_base,std,551,0.0440000035,std
test_base,memalloc,561,2.2930002213,first_fit
test_base,memalloc,561,2.6020002365,worst_fit
test_base,memalloc,561,2.2810001373,null
test_base,std,561,0.0840000063,std
test_base,memalloc,571,3.9340002537,first_fit
test_base,memalloc,571,2.9620001316,worst_fit
test_base,memalloc,571,2.8680000305,null
test_base,std,571,0.0490000024,std
test_base,memalloc,581,3.3300001621,first_fit
test_base,memalloc,581,3.0330002308,worst_fit
test_base,memalloc,581,4.1810002327,null
test_base,std,581,0.0400000028,std
test_base,memalloc,591,2.6510000229,first_fit
test_base,memalloc,591,3.4730000496,worst_fit
test_base,memalloc,591,4.8830003738,null
test_base,std,591,0.0540000014,std
test_base,memalloc,601,3.0450000763,first_fit
test_base,memalloc,601,4.2520003319,worst_fit
test_base,memalloc,601,3.8290002346,null
test_base,std,601,0.0620000027,std
test_base,memalloc,611,2.5670001507,first_fit
test_base,memalloc,611,3.1810002327,worst_fit
test_base,memalloc,611,3.6760001183,null
test_base,std,611,0.0630000010,std
test_base,memalloc,621,3.2410001755,first_fit
test_base,memalloc,621,3.0790002346,worst_fit
test_base,memalloc,621,4.0120000839,null
test_base,std,621,0.0630000010,std
test_base,memalloc,631,3.9120001793,first_fit
test_base,memalloc,631,3.6100001335,worst_fit
test_base,memalloc,631,2.7510001659,null
test_base,std,631,0.0950000063,std
test_base,memalloc,641,4.7820000648,first_fit
test_base,memalloc,641,3.0400002003,worst_fit
test_base,memalloc,641,3.2410001755,null
test_base,std,641,0.0490000024,std
test_base,memalloc,651,3.4950001240,first_fit
test_base,memalloc,651,3.9960002899,worst_fit
test_base,memalloc,651,3.0890002251,null
test_base,std,651,0.0480000004,std
test_base,memalloc,661,3.1890001297,first_fit
test_base,memalloc,661,2.7190001011,worst_fit
test_base,memalloc,661,3.8230001926,null
test_base,std,661,0.0790000036,std
test_base,memalloc,671,3.8240001202,first_fit
test_base,memalloc,671,2.8350000381,worst_fit
test_base,memalloc,671,3.0020000935,null
test_base,std,671,0.0570000038,std
test_base,memalloc,681,5.5320000648,first_fit
test_base,memalloc,681,4.4790000916,worst_fit
test_base,memalloc,681,3.9550001621,null
test_base,std,681,0.0570000038,std
test_base,memalloc,691,3.2350001335,first_fit
test_base,memalloc,691,3.4440002441,worst_fit
test_base,memalloc,691,3.8120002747,null
test_base,std,691,0.1170000061,std
test_base,memalloc,701,3.8540000916,first_fit
test_base,memalloc,701,3.5060002804,worst_fit
test_base,memalloc,701,3.6590001583,null
test_base,std,701,0.0530000031,std
test_base,memalloc,711,3.2520000935,first_fit
test_base,memalloc,711,5.9090003967,worst_fit
test_base,memalloc,711,4.9490003586,null
test_base,std,711,0.0950000063,std
test_base,memalloc,721,4.0859999657,first_fit
test_base,memalloc,721,3.6190001965,worst_fit
test_base,memalloc,721,5.4800004959,null
test_base,std,721,0.0770000070,std
test_base,memalloc,731,3.6650002003,first_fit
test_base,memalloc,731,3.5290002823,worst_fit
test_base,memalloc,731,4.4869999886,null
test_base,std,731,0.0520000011,std
test_base,memalloc,741,3.4710001945,first_fit
test_base,memalloc,741,6.2070002556,worst_fit
test_base,memalloc,741,3.8350002766,null
test_base,std,741,0.0600000024,std
test_base,memalloc,751,3.9390001297,first_fit
test_base,memalloc,751,4.5030002594,worst_fit
test_base,memalloc,751,3.4360001087,null
test_base,std,751,0.0450000018,std
test_base,memalloc,761,4.0260000229,first_fit
test_base,memalloc,761,3.6810002327,worst_fit
test_base,memalloc,761,3.5700001717,null
test_base,std,761,0.0790000036,std
test_base,memalloc,771,4.5820002556,first_fit
test_base,memalloc,771,3.5700001717,worst_fit
test_base,memalloc,771,3.4550001621,null
test_base,std,771,0.0950000063,std
test_base,memalloc,781,4.0930004120,first_fit
test_base,memalloc,781,4.4940004349,worst_fit
test_base,memalloc,781,3.8450002670,null
test_base,std,781,0.0650000051,std
test_base,memalloc,791,3.8570001125,first_fit
test_base,memalloc,791,4.1680002213,worst_fit
test_base,memalloc,791,3.5660002232,null
test_base,std,791,0.0720000044,std
test_base,memalloc,801,4.2930002213,first_fit
test_base,memalloc,801,8.6700000763,worst_fit
test_base,memalloc,801,3.5300002098,null
test_base,std,801,0.0610000044,std
test_base,memalloc,811,3.5030002594,first_fit
test_base,memalloc,811,4.4010000229,worst_fit
test_base,memalloc,811,3.3840000629,null
test_base,std,811,0.0650000051,std
test_base,memalloc,821,5.0840001106,first_fit
test_base,memalloc,821,5.5010004044,worst_fit
test_base,memalloc,821,5.4150004387,null
test_base,std,821,0.0760000050,std
test_base,memalloc,831,4.2270002365,first_fit
test_base,memalloc,831,4.3520002365,worst_fit
test_base,memalloc,831,3.4370002747,null
test_base,std,831,0.0710000023,std
test_base,memalloc,841,4.4680004120,first_fit
test_base,memalloc,841,5.1260004044,worst_fit
test_base,memalloc,841,4.2790002823,null
test_base,std,841,0.0580000021,std
test_base,memalloc,851,4.1480002403,first_fit
test_base,memalloc,851,4.6800003052,worst_fit
test_base,memalloc,851,3.8210000992,null
test_base,std,851,0.0630000010,std
test_base,memalloc,861,4.7220001221,first_fit
test_base,memalloc,861,4.9650001526,worst_fit
test_base,memalloc,861,4.8370003700,null
test_base,std,861,0.0580000021,std
test_base,memalloc,871,4.1379394531,first_fit
test_base,memalloc,871,5.2950000763,worst_fit
test_base,memalloc,871,5.0310001373,null
test_base,std,871,0.0610000044,std
test_base,memalloc,881,5.0850000381,first_fit
test_base,memalloc,881,5.5140004158,worst_fit
test_base,memalloc,881,3.5090000629,null
test_base,std,881,0.0850000009,std
test_base,memalloc,891,5.5500001907,first_fit
test_base,memalloc,891,5.1030001640,worst_fit
test_base,memalloc,891,3.9770002365,null
test_base,std,891,0.0690000057,std
test_base,memalloc,901,5.3670001030,first_fit
test_base,memalloc,901,6.8780002594,worst_fit
test_base,memalloc,901,5.3060002327,null
test_base,std,901,0.0800000057,std
test_base,memalloc,911,5.5370001793,first_fit
test_base,memalloc,911,6.4840002060,worst_fit
test_base,memalloc,911,4.1290001869,null
test_base,std,911,0.0730000064,std
test_base,memalloc,921,4.3560004234,first_fit
test_base,memalloc,921,4.6140003204,worst_fit
test_base,memalloc,921,6.0370001793,null
test_base,std,921,0.0770000070,std
test_base,memalloc,931,4.7790002823,first_fit
test_base,memalloc,931,5.1490001678,worst_fit
test_base,memalloc,931,4.6119999886,null
test_base,std,931,0.0720000044,std
test_base,memalloc,941,4.8310003281,first_fit
test_base,memalloc,941,8.2330007553,worst_fit
test_base,memalloc,941,4.6950001717,null
test_base,std,941,0.0560000017,std
test_base,memalloc,951,5.0120000839,first_fit
test_base,memalloc,951,5.6940002441,worst_fit
test_base,memalloc,951,6.0130004883,null
test_base,std,951,0.1160000041,std
test_base,memalloc,961,5.5970001221,first_fit
test_base,memalloc,961,4.5900001526,worst_fit
test_base,memalloc,961,4.2470002174,null
test_base,std,961,0.0750000030,std
test_base,memalloc,971,4.3820004463,first_fit
test_base,memalloc,971,4.8790001869,worst_fit
test_base,memalloc,971,5.2640004158,null
test_base,std,971,0.0870000049,std
test_base,memalloc,981,6.5250000954,first_fit
test_base,memalloc,981,5.8540000916,worst_fit
test_base,memalloc,981,5.7080001831,null
test_base,std,981,0.1060000062,std
test_base,memalloc,991,5.4650001526,first_fit
test_base,memalloc,991,5.8970003128,worst_fit
test_base,memalloc,991,3.8120002747,null
test_base,std,991,0.1340000033,std
test_base,memalloc,1001,6.4540004730,first_fit
test_base,memalloc,1001,7.2780003548,worst_fit
test_base,memalloc,1001,6.1750001907,null
test_base,std,1001,0.0659999996,std
test_base,memalloc,1011,5.2130002975,first_fit
test_base,memalloc,1011,5.7760004997,worst_fit
test_base,memalloc,1011,5.8250002861,null
test_base,std,1011,0.0630000010,std
test_base,memalloc,1021,5.5830001831,first_fit
test_base,memalloc,1021,5.5570001602,worst_fit
test_base,memalloc,1021,6.2940001488,null
test_base,std,1021,0.0690000057,std
test_base,memalloc,1031,5.3490004539,first_fit
test_base,memalloc,1031,4.6210002899,worst_fit
test_base,memalloc,1031,5.7620000839,null
test_base,std,1031,0.0730000064,std
test_base,memalloc,1041,4.2580003738,first_fit
test_base,memalloc,1041,6.0480003357,worst_fit
test_base,memalloc,1041,6.5860004425,null
test_base,std,1041,0.0710000023,std
test_base,memalloc,1051,5.9800004959,first_fit
test_base,memalloc,1051,6.9380002022,worst_fit
test_base,memalloc,1051,6.0510001183,null
test_base,std,1051,0.0780000016,std
test_base,memalloc,1061,5.2640004158,first_fit
test_base,memalloc,1061,6.4290003777,worst_fit
test_base,memalloc,1061,4.8550000191,null
test_base,std,1061,0.0760000050,std
test_base,memalloc,1071,7.0360002518,first_fit
test_base,memalloc,1071,6.2980003357,worst_fit
test_base,memalloc,1071,5.8910002708,null
test_base,std,1071,0.0830000043,std
test_base,memalloc,1081,5.5490002632,first_fit
test_base,memalloc,1081,7.6170005798,worst_fit
test_base,memalloc,1081,6.1180005074,null
test_base,std,1081,0.0950000063,std
test_base,memalloc,1091,7.6940002441,first_fit
test_base,memalloc,1091,6.6790003777,worst_fit
test_base,memalloc,1091,5.6420001984,null
test_base,std,1091,0.0870000049,std
test_base,memalloc,1101,7.5240001678,first_fit
test_base,memalloc,1101,5.8010001183,worst_fit
test_base,memalloc,1101,6.2940001488,null
test_base,std,1101,0.1600000113,std
test_base,memalloc,1111,4.1800003052,first_fit
test_base,memalloc,1111,4.8270001411,worst_fit
test_base,memalloc,1111,4.9740004539,null
test_base,std,1111,0.0710000023,std
test_base,memalloc,1121,6.5390005112,first_fit
test_base,memalloc,1121,6.4030003548,worst_fit
test_base,memalloc,1121,7.0460004807,null
test_base,std,1121,0.1090000048,std
test_base,memalloc,1131,5.0230002403,first_fit
test_base,memalloc,1131,7.1280002594,worst_fit
test_base,memalloc,1131,7.5680003166,null
test_base,std,1131,0.0750000030,std
test_base,memalloc,1141,4.6030001640,first_fit
test_base,memalloc,1141,7.4860005379,worst_fit
test_base,memalloc,1141,6.6250004768,null
test_base,std,1141,0.0670000017,std
test_base,memalloc,1151,6.8330001831,first_fit
test_base,memalloc,1151,5.3950004578,worst_fit
test_base,memalloc,1151,6.4650001526,null
test_base,std,1151,0.0630000010,std
test_base,memalloc,1161,5.3630003929,first_fit
test_base,memalloc,1161,4.4970002174,worst_fit
test_base,memalloc,1161,4.8730001450,null
test_base,std,1161,0.1000000015,std
test_base,memalloc,1171,4.7950000763,first_fit
test_base,memalloc,1171,4.9790000916,worst_fit
test_base,memalloc,1171,6.3130002022,null
test_base,std,1171,0.0750000030,std
test_base,memalloc,1181,6.3150005341,first_fit
test_base,memalloc,1181,5.3020000458,worst_fit
test_base,memalloc,1181,5.1620001793,null
test_base,std,1181,0.0740000010,std
test_base,memalloc,1191,6.1120004654,first_fit
test_base,memalloc,1191,6.5060005188,worst_fit
test_base,memalloc,1191,7.2790002823,null
test_base,std,1191,0.0890000015,std
test_base,memalloc,1201,6.2860002518,first_fit
test_base,memalloc,1201,8.3190002441,worst_fit
test_base,memalloc,1201,4.8120002747,null
test_base,std,1201,0.0820000023,std
test_base,memalloc,1211,8.4850006104,first_fit
test_base,memalloc,1211,5.5540003777,worst_fit
test_base,memalloc,1211,5.6530003548,null
test_base,std,1211,0.0980000049,std
test_base,memalloc,1221,7.6170005798,first_fit
test_base,memalloc,1221,5.7310004234,worst_fit
test_base,memalloc,1221,8.6430006027,null
test_base,std,1221,0.1140000075,std
test_base,memalloc,1231,7.6200003624,first_fit
test_base,memalloc,1231,5.9240002632,worst_fit
test_base,memalloc,1231,9.6460008621,null
test_base,std,1231,0.0800000057,std
test_base,memalloc,1241,6.3420004845,first_fit
test_base,memalloc,1241,9.1860008240,worst_fit
test_base,memalloc,1241,7.5860004425,null
test_base,std,1241,0.1190000027,std
test_base,memalloc,1251,7.3770003319,first_fit
test_base,memalloc,1251,5.6780004501,worst_fit
test_base,memalloc,1251,5.8690004349,null
test_base,std,1251,0.1620000005,std
test_base,memalloc,1261,5.4410004616,first_fit
test_base,memalloc,1261,5.5130004883,worst_fit
test_base,memalloc,1261,7.5050005913,null
test_base,std,1261,0.0850000009,std
test_base,memalloc,1271,5.8080000877,first_fit
test_base,memalloc,1271,6.1010003090,worst_fit
test_base,memalloc,1271,9.0170001984,null
test_base,std,1271,0.0840000063,std
test_base,memalloc,1281,7.0060005188,first_fit
test_base,memalloc,1281,10.7920007706,worst_fit
test_base,memalloc,1281,7.1080002785,null
test_base,std,1281,0.0780000016,std
test_base,memalloc,1291,6.5390005112,first_fit
test_base,memalloc,1291,7.5300002098,worst_fit
test_base,memalloc,1291,6.0210003853,null
test_base,std,1291,0.0870000049,std
test_base,memalloc,1301,6.1190004349,first_fit
test_base,memalloc,1301,6.4810004234,worst_fit
test_base,memalloc,1301,7.2000002861,null
test_base,std,1301,0.1090000048,std
test_base,memalloc,1311,7.4540004730,first_fit
test_base,memalloc,1311,5.3850002289,worst_fit
test_base,memalloc,1311,5.9100003242,null
test_base,std,1311,0.1170000061,std
test_base,memalloc,1321,6.3080000877,first_fit
test_base,memalloc,1321,6.2580003738,worst_fit
