test,type,interactions,elapsed_time,find_type
test_base,memalloc,641,0.008000,worst_fit
test_base,memalloc,641,0.007000,null
test_base,std,641,0.001000,std
test_base,memalloc,651,0.007000,first_fit
test_base,memalloc,651,0.007000,worst_fit
test_base,memalloc,651,0.007000,null
test_base,std,651,0.001000,std
test_base,memalloc,661,0.008000,first_fit
test_base,memalloc,661,0.008000,worst_fit
test_base,memalloc,661,0.009000,null
test_base,std,661,0.002000,std
test_base,memalloc,671,0.008000,first_fit
test_base,memalloc,671,0.007000,worst_fit
test_base,memalloc,671,0.008000,null
test_base,std,671,0.002000,std
test_base,memalloc,681,0.008000,first_fit
test_base,memalloc,681,0.008000,worst_fit
test_base,memalloc,681,0.008000,null
test_base,std,681,0.001000,std
test_base,memalloc,691,0.007000,first_fit
test_base,memalloc,691,0.007000,worst_fit
test_base,memalloc,691,0.008000,null
test_base,std,691,0.001000,std
test_base,memalloc,701,0.009000,first_fit
test_base,memalloc,701,0.008000,worst_fit
test_base,memalloc,701,0.008000,null
test_base,std,701,0.001000,std
test_base,memalloc,711,0.008000,first_fit
test_base,memalloc,711,0.007000,worst_fit
test_base,memalloc,711,0.007000,null
test_base,std,711,0.001000,std
test_base,memalloc,721,0.008000,first_fit
test_base,memalloc,721,0.008000,worst_fit
test_base,memalloc,721,0.009000,null
test_base,std,721,0.002000,std
test_base,memalloc,731,0.008000,first_fit
test_base,memalloc,731,0.020000,worst_fit
test_base,memalloc,731,0.008000,null
test_base,std,731,0.130000,std
test_base,memalloc,741,0.008000,first_fit
test_base,memalloc,741,0.007000,worst_fit
test_base,memalloc,741,0.007000,null
test_base,std,741,0.002000,std
test_base,memalloc,751,0.008000,first_fit
test_base,memalloc,751,0.008000,worst_fit
test_base,memalloc,751,0.009000,null
test_base,std,751,0.002000,std
test_base,memalloc,761,0.008000,first_fit
test_base,memalloc,761,0.008000,worst_fit
test_base,memalloc,761,0.008000,null
test_base,std,761,0.002000,std
test_base,memalloc,771,0.009000,first_fit
test_base,memalloc,771,0.007000,worst_fit
test_base,memalloc,771,0.008000,null
test_base,std,771,0.001000,std
test_base,memalloc,781,0.008000,first_fit
test_base,memalloc,781,0.009000,worst_fit
test_base,memalloc,781,0.013000,null
test_base,std,781,0.003000,std
test_base,memalloc,791,0.010000,first_fit
test_base,memalloc,791,0.009000,worst_fit
test_base,memalloc,791,0.011000,null
test_base,std,791,0.002000,std
test_base,memalloc,801,0.008000,first_fit
test_base,memalloc,801,0.008000,worst_fit
test_base,memalloc,801,0.008000,null
test_base,std,801,0.001000,std
test_base,memalloc,811,0.008000,first_fit
test_base,memalloc,811,0.007000,worst_fit
test_base,memalloc,811,0.008000,null
test_base,std,811,0.002000,std
test_base,memalloc,821,0.008000,first_fit
test_base,memalloc,821,0.007000,worst_fit
test_base,memalloc,821,0.008000,null
test_base,std,821,0.002000,std
test_base,memalloc,831,0.008000,first_fit
test_base,memalloc,831,0.009000,worst_fit
test_base,memalloc,831,0.008000,null
test_base,std,831,0.001000,std
test_base,memalloc,841,0.012000,first_fit
test_base,memalloc,841,0.009000,worst_fit
test_base,memalloc,841,0.009000,null
test_base,std,841,0.002000,std
test_base,memalloc,851,0.008000,first_fit
test_base,memalloc,851,0.012000,worst_fit
test_base,memalloc,851,0.008000,null
test_base,std,851,0.002000,std
test_base,memalloc,861,0.007000,first_fit
test_base,memalloc,861,0.007000,worst_fit
test_base,memalloc,861,0.007000,null
test_base,std,861,0.003000,std
test_base,memalloc,871,0.008000,first_fit
test_base,memalloc,871,0.009000,worst_fit
test_base,memalloc,871,0.008000,null
test_base,std,871,0.003000,std
test_base,memalloc,881,0.009000,first_fit
test_base,memalloc,881,0.012000,worst_fit
test_base,memalloc,881,0.009000,null
test_base,std,881,0.002000,std
test_base,memalloc,891,0.013000,first_fit
test_base,memalloc,891,0.010000,worst_fit
test_base,memalloc,891,0.011000,null
test_base,std,891,0.002000,std
test_base,memalloc,901,0.008000,first_fit
test_base,memalloc,901,0.008000,worst_fit
test_base,memalloc,901,0.007000,null
test_base,std,901,0.002000,std
test_base,memalloc,911,0.008000,first_fit
test_base,memalloc,911,0.008000,worst_fit
test_base,memalloc,911,0.008000,null
test_base,std,911,0.002000,std
test_base,memalloc,921,0.007000,first_fit
test_base,memalloc,921,0.008000,worst_fit
test_base,memalloc,921,0.009000,null
test_base,std,921,0.002000,std
test_base,memalloc,931,0.008000,first_fit
test_base,memalloc,931,0.007000,worst_fit
test_base,memalloc,931,0.008000,null
test_base,std,931,0.002000,std
test_base,memalloc,941,0.007000,first_fit
test_base,memalloc,941,0.007000,worst_fit
test_base,memalloc,941,0.013000,null
test_base,std,941,0.003000,std
test_base,memalloc,951,0.008000,first_fit
test_base,memalloc,951,0.008000,worst_fit
test_base,memalloc,951,0.007000,null
test_base,std,951,0.002000,std
test_base,memalloc,961,0.010000,first_fit
test_base,memalloc,961,0.009000,worst_fit
test_base,memalloc,961,0.009000,null
test_base,std,961,0.002000,std
test_base,memalloc,971,0.013000,first_fit
test_base,memalloc,971,0.011000,worst_fit
test_base,memalloc,971,0.011000,null
test_base,std,971,0.001000,std
test_base,memalloc,981,0.009000,first_fit
test_base,memalloc,981,0.010000,worst_fit
test_base,memalloc,981,0.008000,null
test_base,std,981,0.001000,std
test_base,memalloc,991,0.007000,first_fit
test_base,memalloc,991,0.008000,worst_fit
